Stromlo SLR Station: 7825            DAILY OPERATIONS REPORT for Day 94, 3 April 2020
__________________________________________________________________________________________________________________________________________________________

         Target    Start     Stop SCI Acq   SD    Shots     Total  Accepted Normal     Range   Range Accepted -Spider Cals--    Survey Time Bias      Note
           Name     Time     Time    Code Type    Fired     Range  No.Range Points   Obs(ns) RMS(ns) No. Cals SD(ns) RMS(ns) Error(mm)      (ms)
----------------------------------------------------------------------------------------------------------------------------------------------------------
STCABLE         01:24:15 01:31:30  0  1Z          20230     20230     19913      0    11.093   0.005        0    0.000 0.000                             
geoik2          19:30:13 19:42:58  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
terrasarx       19:43:00 19:48:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
tandemx         19:40:01 19:54:25  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
saral           19:48:00 19:55:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
hy2a            19:50:33 20:03:42  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass140      17:46:19 20:11:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
compassi3       15:36:39 22:55:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
starlette       21:06:00 21:12:00  0  5D              0         0         0      0             0.000        0    0.000 0.000                 0.0         
swarmb          21:09:13 21:17:53  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
beidou3m10      17:15:26 22:34:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
lageos1         21:27:27 22:25:32  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
jason2          22:33:00 22:44:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
gracefo2        22:41:14 22:49:10  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
starlette       22:51:31 23:03:47  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo219      18:37:59 01:12:00  0  3Z          14108         0         0      0             0.000        0    0.000 0.000                 0.0         
sentinel3b      23:03:54 23:15:04  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
beidou3m9       20:07:35 01:18:00  0  3Z          13246         0         0      0             0.000        0    0.000 0.000                 0.0         
swarma          23:32:00 23:37:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
swarmc          23:33:00 23:37:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
technosat       23:42:00 23:47:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
jason3          23:45:00 23:53:00  0  5D              0         0         0      0             0.000        0    0.000 0.000                 0.0         
sentinel3a      23:42:44 23:54:20  0  3Z           6144         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo209      20:37:35 01:38:00  0  3Z          11044         0         0      0             0.000        0    0.000 0.000                 0.0         
beidou3m2       20:34:35 01:23:00  0  3Z          21508         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass131      23:25:43 03:57:45  0  3Z          21429         0         0      0             0.000        0    0.000 0.000                 0.0         
compassi3       15:36:39 06:07:00  0  3Z          15189         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass135      23:47:02 02:36:00  0  3Z           7207         0         0      0             0.000        0    0.000 0.000                 0.0         

----------------------------------------------------------------------------------------------------------------------------------------------------------
METS_P        Status: No Report  Time: 00:00 UTC    Pressure    =      0.00 mb   P - Ref =     +0.00 mb                                                  
TIMING_GPSTT  Status: No Report  Time: 00:00 UTC  Cs Ref - 1PPS =     +0.00 ns     Drift =     +0.00 ns                                                  

MRCS         Date of last vernier cal: 01 Jan 1900  Due on: 01 Jan 1900  Attached Files:                                                                
MOUNT        Date of last star cal:    01 Jan 1900  Due on: 01 Jan 1900  Attached Files:                                                                
TELESCOPE    Date of last minico:      01 Jan 1900  Due on: 01 Jan 1900  Attached Files:                                                                


                                                                                         Checked By: kl
